Unix Timestamp (UTC),Degrees (°C)
1579047502062,23.458000
1579047503062,23.429000
1579047504061,23.458000
1579047505061,23.429000
1579047506061,23.458000
1579047507061,23.429000
1579047508061,23.458000
1579047509061,23.429000
1579047510061,23.458000
1579047511060,23.429000
1579047512060,23.458000
1579047513060,23.429000
1579047514060,23.458000
1579047515060,23.458000
1579047516060,23.458000
1579047517059,23.458000
1579047518059,23.429000
1579047519059,23.429000
1579047520059,23.458000
1579047521059,23.458000
1579047522059,23.429000
1579047523058,23.458000
1579047524058,23.458000
1579047525058,23.458000
1579047526058,23.458000
1579047527058,23.429000
1579047528058,23.458000
1579047529058,23.458000
1579047530057,23.429000
1579047531057,23.458000
1579047532057,23.458000
1579047533057,23.458000
1579047534057,23.458000
1579047535057,23.458000
1579047536056,23.429000
1579047537056,23.458000
1579047538056,23.458000
1579047539056,23.458000
1579047540056,23.429000
1579047541056,23.458000
1579047542056,23.458000
1579047543055,23.458000
1579047544055,23.458000
1579047545055,23.458000
1579047546055,23.458000
1579047547055,23.429000
1579047548055,23.458000
1579047549054,23.458000
1579047550054,23.429000
1579047551054,23.458000
1579047552054,23.458000
1579047553054,23.458000
1579047554054,23.429000
1579047555054,23.458000
1579047556054,23.429000
1579047557054,23.458000
1579047558054,23.458000
1579047559054,23.458000
1579047560054,23.458000
1579047561054,23.429000
1579047562054,23.429000
1579047563054,23.429000
1579047564054,23.458000
1579047565054,23.458000
1579047566055,23.458000
1579047567055,23.429000
1579047568055,23.429000
1579047569055,23.458000
1579047570055,23.429000
1579047571055,23.429000
1579047572055,23.458000
1579047573055,23.429000
1579047574055,23.458000
1579047575055,23.458000
1579047576056,23.458000
1579047577056,23.429000
1579047578056,23.458000
1579047579056,23.458000
1579047580056,23.458000
1579047581056,23.429000
1579047582056,23.429000
1579047583056,23.458000
1579047584056,23.458000
1579047585056,23.429000
1579047586056,23.429000
1579047587057,23.458000
1579047588057,23.429000
1579047589057,23.429000
1579047590057,23.429000
1579047591057,23.458000
1579047592057,23.458000
1579047593057,23.458000
1579047594057,23.458000
1579047595057,23.458000
1579047596057,23.458000
1579047597058,23.429000
1579047598058,23.429000
1579047599058,23.458000
1579047600058,23.458000
1579047601058,23.429000
1579047602058,23.458000
1579047603058,23.458000
1579047604058,23.458000
1579047605058,23.429000
1579047606058,23.429000
1579047607058,23.429000
1579047608059,23.458000
1579047609059,23.429000
1579047610059,23.429000
1579047611059,23.458000
1579047612059,23.429000
1579047613059,23.429000
1579047614059,23.429000
1579047615059,23.458000
1579047616059,23.429000
1579047617059,23.458000
1579047618060,23.458000
1579047619060,23.429000
1579047620060,23.429000
1579047621060,23.429000
1579047622060,23.429000
1579047623060,23.458000
1579047624060,23.429000
1579047625060,23.458000
1579047626060,23.429000
